year,league,division,team,wins,losses,winning_percentage,games_back
1942,National League,League,Boston Braves,59,89,0.39864864864864863,.399
1943,National League,League,Cincinnati Reds,87,67,0.564935064935065,.565
1943,National League,League,Pittsburgh Pirates,80,74,0.5194805194805194,.519
1943,National League,League,Chicago Cubs,74,79,0.48366013071895425,30½
1943,National League,League,Boston Braves,68,85,0.4444444444444444,36½
1944,National League,League,Pittsburgh Pirates,90,63,0.5882352941176471,14½
1944,National League,League,Cincinnati Reds,89,65,0.577922077922078,.578
1944,National League,League,Chicago Cubs,75,79,0.487012987012987,.487
1944,National League,League,Boston Braves,65,89,0.42207792207792205,.422
1945,National League,League,Chicago Cubs,98,56,0.6363636363636364,.636
1945,National League,League,Pittsburgh Pirates,82,72,0.5324675324675324,.532
1945,National League,League,Boston Braves,67,85,0.4407894736842105,.441
1945,National League,League,Cincinnati Reds,61,93,0.3961038961038961,.396
1946,National League,League,Chicago Cubs,82,71,0.5359477124183006,14½
1946,National League,League,Boston Braves,81,72,0.5294117647058824,15½
1946,National League,League,Cincinnati Reds,67,87,0.43506493506493504,.435
1946,National League,League,Pittsburgh Pirates,63,91,0.4090909090909091,.409
1947,National League,League,Boston Braves,86,68,0.5584415584415584,.558
1947,National League,League,Cincinnati Reds,73,81,0.474025974025974,.474
1947,National League,League,Chicago Cubs,69,85,0.44805194805194803,.448
1947,National League,League,Pittsburgh Pirates,62,92,0.4025974025974026,.403
1948,National League,League,Boston Braves,91,62,0.5947712418300654,.595
1948,National League,League,Pittsburgh Pirates,83,71,0.538961038961039,8½
1948,National League,League,Cincinnati Reds,64,89,0.41830065359477125,.418
1948,National League,League,Chicago Cubs,64,90,0.4155844155844156,27½
1949,National League,League,Boston Braves,75,79,0.487012987012987,.487
1949,National League,League,Pittsburgh Pirates,71,83,0.461038961038961,.461
1949,National League,League,Cincinnati Reds,62,92,0.4025974025974026,.403
1949,National League,League,Chicago Cubs,61,93,0.3961038961038961,.396
1950,National League,League,Boston Braves,83,71,0.538961038961039,.539
1950,National League,League,Cincinnati Reds,66,87,0.43137254901960786,24½
